iter	RMSE
245	0.5836558503
246	0.5819061687
247	0.5802995574
248	0.5770837048
249	0.57650623
250	0.5759267634
251	0.5755826703
252	0.574686771
253	0.572178067
254	0.5705010685
255	0.566982667
256	0.564685267
257	0.5620586646
258	0.5603080814
259	0.5580790211
260	0.556152999
261	0.5516416929
262	0.5512108007
263	0.5510162397
264	0.5492540378
265	0.5488447269
266	0.5469531735
267	0.5453399032
268	0.5426947734
269	0.5394252147
270	0.5368509098
271	0.5354036602
272	0.5320401674
273	0.5306360746
274	0.5304073478
275	0.5287933696
276	0.5266723053
277	0.526472095
278	0.5262575499
279	0.5250869608
280	0.5248840435
281	0.5245860917
282	0.5222858343
283	0.5209619186
284	0.5190272874
285	0.5166832675
286	0.5157311313
287	0.51331109
288	0.5109858155
289	0.5091861446
290	0.506787529
291	0.5045458697
292	0.5039550297
293	0.5027268717
294	0.500672097
295	0.4990527565
296	0.4977580792
297	0.495223653
298	0.4937278002
299	0.4933983794
300	0.4915467927
301	0.4898679292
302	0.4876570387
303	0.4859505856
304	0.4849318453
305	0.4836140971
306	0.4813429651
307	0.4802993227
308	0.478651268
309	0.4763303252
310	0.4746655945
311	0.4731070694
312	0.4714486909
313	0.4699907914
314	0.4683162641
315	0.4662721641
316	0.4646746254
317	0.4629578814
318	0.4613196384
319	0.4609880008
320	0.4593606342
321	0.4579584879
322	0.455553992
323	0.4544308553
324	0.4527212913
325	0.4511057983
326	0.450091508
327	0.4479112682
328	0.4462740124
329	0.4459712445
330	0.4446129867
331	0.443116509
332	0.4412691344
333	0.4394403586
334	0.4376386202
335	0.4373550792
336	0.4360005533
337	0.4353267338
338	0.4338418111
339	0.4324091457
340	0.4318016004
341	0.4302095914
342	0.4282205452
343	0.4279417019
344	0.426393888
345	0.4261100473
346	0.4259389437
347	0.4257730559
348	0.4244577157
349	0.4225278156
350	0.4212124136
351	0.4206038989
352	0.4196110772
353	0.4194527098
354	0.4175050214
355	0.4168746719
356	0.4154580353
357	0.4145924403
358	0.4139747799
359	0.412536875
360	0.4111539645
361	0.4096401343
362	0.4090421016
363	0.4075832658
364	0.406279631
365	0.4060303658
366	0.4045881717
367	0.4035691111
368	0.4024621635
369	0.4011123267
370	0.400331423
371	0.3998082377
372	0.3987580605
373	0.3977515732
374	0.3970547057
375	0.3965894846
376	0.3952420311
377	0.3950335752
378	0.3938748616
379	0.3933264772
380	0.3921713286
381	0.3910151841
382	0.3901269528
383	0.3899124023
384	0.3885384336
385	0.3874490838
386	0.3870744898
387	0.3863677467
388	0.3849932876
389	0.38370632
390	0.3829790086
391	0.3819994958
392	0.380783195
393	0.3803284591
394	0.3794311117
395	0.3782741688
396	0.3773929146
397	0.37670361
398	0.3756417026
399	0.3748136554
400	0.3738065649
401	0.3736343516
402	0.3726366945
403	0.3721710174
404	0.3712148116
405	0.3709059754
406	0.3702287803
407	0.3700350015
408	0.3687404934
409	0.3681144988
410	0.3672923105
411	0.3668277198
412	0.3657054311
413	0.3638052082
414	0.3628182149
415	0.3622412162
416	0.3616846416
417	0.3608592514
418	0.3607566854
419	0.3604372294
420	0.3592184308
421	0.3583544805
422	0.3572811485
423	0.3566800561
424	0.3562677501
425	0.3554154666
426	0.3550164858
427	0.3543543552
428	0.3539786244
429	0.3531933584
430	0.352266336
431	0.3519344243
432	0.3508977295
433	0.3507975424
434	0.3496146356
435	0.3480439425
436	0.3470989097
437	0.3466627013
438	0.3465752614
439	0.3450667652
440	0.3444591712
441	0.3442567577
442	0.3434644151
443	0.3425976517
444	0.3419242213
445	0.3404539005
446	0.3396511288
447	0.338754165
448	0.3380466926
449	0.337778428
450	0.3368349691
451	0.335353438
452	0.3345843709
453	0.3333937071
454	0.3329924734
455	0.3320782382
456	0.3308639858
457	0.3301556213
458	0.3296816269
459	0.3287046277
460	0.3278320749
461	0.3271408679
462	0.3263109957
463	0.3259635831
464	0.3248535543
465	0.324582577
466	0.3237122537
467	0.3221493096
468	0.3217441848
469	0.3209948514
470	0.3206459098
471	0.3201105447
472	0.3195309063
473	0.3189379356
474	0.3185890082
475	0.3178114125
476	0.3168073341
477	0.3164144236
478	0.316261547
479	0.3153523581
480	0.3148714582
481	0.3146285361
482	0.3143707815
483	0.3139138609
484	0.3138541713
485	0.3130873382
486	0.3123856039
487	0.3114824292
488	0.3104330864
489	0.3096424197
490	0.3083335038
491	0.3072562077
492	0.3067089614
493	0.3059285656
494	0.3057127012
495	0.3056539362
496	0.3048983661
497	0.3048334784
498	0.3041514946
499	0.3036687563
